record_id,event_id,hazard_type,start_date,end_date,location,source_name,source_url,validation_status,spatial_confidence,temporal_confidence,severity,source_file,notes
web-2009-jeddah-01,extreme_weather_flash_flood_jeddah_20091125,flash_flood,2009-11-25,2009-11-25,Jeddah,web_verified,https://en.wikipedia.org/wiki/2009_Jeddah_floods,verified,medium,high,high,data/raw/flash_flood_verified/web_verified_events_2026-07-14.csv,Bundled verified flash-flood fact carried into the cross-hazard inventory.
web-2011-jeddah-01,extreme_weather_flash_flood_jeddah_20110126,flash_flood,2011-01-26,2011-01-26,Jeddah,web_verified,https://en.wikipedia.org/wiki/Jeddah#Floods,verified,medium,high,high,data/raw/flash_flood_verified/web_verified_events_2026-07-14.csv,Bundled verified flash-flood fact carried into the cross-hazard inventory.
user-2013-05-riyadh-01,extreme_weather_flash_flood_riyadh_20130502,flash_flood,2013-05-02,2013-05-02,Riyadh and wider central provinces,aljazeera_verified_reliefweb_corroborated,https://www.aljazeera.com/news/2013/5/2/floods-in-saudi-arabia-kill-16-people,verified,medium,high,severe,data/raw/extreme_weather_verified/user_verified_extreme_weather_events_2013_2023.csv,"User-confirmed deadly Saudi flood episode in May 2013 affecting Riyadh and other regions; the requester also supplied a ReliefWeb casualty-stat URL, and the linked reports differ on the fatality count, so the row is retained conservatively as verified."
user-2013-11-riyadh-01,extreme_weather_flash_flood_riyadh_20131101,flash_flood,2013-11-01,2013-11-30,Riyadh and surrounding regions,floodlist_verified,https://floodlist.com/asia/flooding-in-riyadh,verified,medium,medium,high,data/raw/extreme_weather_verified/user_verified_extreme_weather_events_2013_2023.csv,"User-confirmed regional destructive flooding in Riyadh in November 2013, preserved at month resolution because the supplied source is a month-level event summary."
user-2016-04-saudi-01,extreme_weather_flash_flood_saudi_20160414,flash_flood,2016-04-14,2016-04-14,Saudi Arabia,aljazeera_verified,https://www.aljazeera.com/news/2016/4/14/deadly-rains-pound-the-middle-east,verified,medium,high,high,data/raw/extreme_weather_verified/user_verified_extreme_weather_events_2013_2023.csv,"User-confirmed nationwide flash-flood episode in April 2016, based on the Al Jazeera heavy-rains summary supplied by the requester."
user-2018-05-empty-quarter-01,extreme_weather_tropical_cyclone_empty_quarter_20180501,tropical_cyclone,2018-05-01,2018-05-31,Empty Quarter,thenational_verified,https://www.thenationalnews.com/uae/lakes-in-the-desert-new-nasa-images-show-impact-of-huge-tropical-storm-on-the-empty-quarter-1.740960,verified,medium,medium,severe,data/raw/extreme_weather_verified/user_verified_extreme_weather_events_2013_2023.csv,User-confirmed May 2018 tropical-cyclone impact over the Empty Quarter desert; retained at month resolution because the supplied source is a satellite-impact summary rather than a single-day incident report.
user-2018-11-saudi-01,extreme_weather_flash_flood_saudi_20181110,flash_flood,2018-11-10,2018-11-20,Saudi Arabia,aa_verified,https://www.aa.com.tr/en/middle-east/flash-floods-kill-35-in-saudi-arabia/1316597,verified,medium,high,severe,data/raw/extreme_weather_verified/user_verified_extreme_weather_events_2013_2023.csv,User-confirmed cross-regional flash-flood spell in November 2018 with 35 fatalities.
user-2019-01-nw-saudi-01,extreme_weather_flash_flood_saudi_20190127,flash_flood,2019-01-27,2019-01-30,"Tabuk, Madinah, Northern Borders",aljazeera_verified,https://www.aljazeera.com/news/2019/1/30/at-least-12-people-killed-as-floods-wreak-havoc-in-saudi-arabia,verified,medium,high,severe,data/raw/extreme_weather_verified/user_verified_extreme_weather_events_2013_2023.csv,"User-confirmed northwest Saudi flash floods in late January 2019, including Tabuk and the Northern Borders region."
user-2020-01-tabuk-snow-01,extreme_weather_snowstorm_tabuk_20200101,snowstorm,2020-01-01,2020-01-31,Tabuk,arabnews_verified,https://www.arabnews.com/node/1611101/amp,verified,medium,medium,medium,data/raw/extreme_weather_verified/user_verified_extreme_weather_events_2013_2023.csv,"User-confirmed rare Tabuk snowfall in January 2020, preserved at month resolution because the supplied source is a month-level article link in the requester note."
user-2021-04-makkah-01,extreme_weather_flash_flood_makkah_20210427,flash_flood,2021-04-27,2021-04-27,Makkah,thenational_verified,https://www.thenationalnews.com/gulf/saudi-arabia/freak-weather-brings-flooding-and-hail-in-makkah-but-saudis-remain-upbeat-1.1212303,verified,medium,high,high,data/raw/extreme_weather_verified/user_verified_extreme_weather_events_2013_2023.csv,"User-confirmed April 2021 Makkah hail-and-flood episode, including flash flooding and rare hail."
user-2023-04-taif-01,extreme_weather_flash_flood_taif_20230419,flash_flood,2023-04-19,2023-04-19,Taif,alarabiya_verified,https://english.alarabiya.net/News/saudi-arabia/2023/04/19/Hail-pelts-down-in-Saudi-Arabia-s-Taif-disrupting-traffic,verified,medium,high,medium,data/raw/extreme_weather_verified/user_verified_extreme_weather_events_2013_2023.csv,User-confirmed April 2023 Taif hail-and-flood disruption event; retained from the requester-provided Al Arabiya link.
web-2015-jeddah-01,extreme_weather_flash_flood_jeddah_20151117,flash_flood,2015-11-17,2015-11-17,Jeddah,web_verified,https://english.alarabiya.net/en/News/middle-east/2015/11/17/Saudi-crisis-center-urges-all-Jeddah-residents-to-remain-indoors-.html,verified,medium,high,high,data/raw/flash_flood_verified/web_verified_events_2026-07-14.csv,Bundled verified flash-flood fact carried into the cross-hazard inventory.
web-2017-jeddah-01,extreme_weather_flash_flood_jeddah_20171121,flash_flood,2017-11-21,2017-11-21,Jeddah,web_verified,https://saudigazette.com.sa/article/522358/SAUDI-ARABIA/Jeddah-rains-flood-streets-met-office-near-airport-hit-by-lightning,verified,medium,high,high,data/raw/flash_flood_verified/web_verified_events_2026-07-14.csv,Bundled verified flash-flood fact carried into the cross-hazard inventory.
web-2015-riyadh-dust-01,extreme_weather_dust_storm_riyadh_20150401,dust_storm,2015-04-01,2015-04-02,Riyadh,web_verified_dust,https://en.wikipedia.org/wiki/Riyadh,verified,medium,medium,high,data/raw/dust_storm_verified/web_verified_dust_events_2015_2026-07-16.csv,Web-verified dust-storm fact mirrored from the hazard-specific dust raw file. The Riyadh climate summary notes a massive dust storm on 2015-04-01 to 2015-04-02 that suspended classes and cancelled hundreds of flights.
web-2022-jeddah-01,extreme_weather_flash_flood_jeddah_20221124,flash_flood,2022-11-24,2022-11-24,Jeddah,web_verified,https://www.straitstimes.com/world/middle-east/2-dead-as-saudi-storm-closes-schools-cuts-main-road-to-mecca,verified,medium,high,severe,data/raw/flash_flood_verified/web_verified_events_2026-07-14.csv,Bundled verified flash-flood fact carried into the cross-hazard inventory.
web-2022-mecca-01,extreme_weather_flash_flood_mecca_20221223,flash_flood,2022-12-23,2022-12-23,Mecca,web_verified,https://en.wikipedia.org/wiki/2022%E2%80%932023_Saudi_Arabia_floods,verified,medium,high,high,data/raw/flash_flood_verified/web_verified_events_2026-07-14.csv,Bundled verified flash-flood fact carried into the cross-hazard inventory.
web-2023-jeddah-01,extreme_weather_flash_flood_jeddah_20230103,flash_flood,2023-01-03,2023-01-03,Jeddah,web_verified,https://en.wikipedia.org/wiki/2022%E2%80%932023_Saudi_Arabia_floods,verified,medium,high,high,data/raw/flash_flood_verified/web_verified_events_2026-07-14.csv,Bundled verified flash-flood fact carried into the cross-hazard inventory.
web-2023-hajj-heat-01,extreme_weather_extreme_heat_hajj_20230626,extreme_heat,2023-06-26,2023-07-01,"Mecca, Mina, Arafat",web_verified_extreme_heat,https://time.com/6291161/extreme-heat-hajj-climate/,verified,medium,high,high,data/raw/extreme_heat_verified/web_verified_hajj_heat_events_2023_2024.csv,"Web-verified extreme-heat fact mirrored from the hazard-specific heat raw file. TIME reported that Hajj 2023 ran from 2023-06-26 to 2023-07-01, temperatures regularly topped 44C, and more than 8,400 pilgrims were treated for heat stroke or exhaustion."
web-2024-eastern-province-01,extreme_weather_flash_flood_eastern_province_20240417,flash_flood,2024-04-17,2024-04-17,Eastern Province,web_verified_2024,https://en.wikipedia.org/wiki/2024_Persian_Gulf_floods,verified,medium,medium,high,data/raw/flash_flood_verified/web_verified_events_2024_2026-07-16.csv,Bundled verified flash-flood fact carried into the cross-hazard inventory.
